policy,site,lead_scenario,mean_lead_hours,EENS_mean,EENS_std,EENS_min,EENS_max,diesel_mean,stockout_mean,uptime_mean,cost_mean,n,EENS_sem,EENS_ci95_lo,EENS_ci95_hi
multi,site10,no_delay,0,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
multi,site10,fast,12,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
multi,site10,normal,24,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
multi,site10,delayed,48,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
multi,site10,monsoon,72,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
multi,site10,very_delayed,120,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
multi,site10,extreme,336,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
multi,site2,no_delay,0,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
multi,site2,fast,12,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
multi,site2,normal,24,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
multi,site2,delayed,48,13.584857999999999,54.23209862126397,0.0,337.3772,735.976562,0.0,99.530555,1699.6223334285712,100,5.423209862126397,2.9553666702322605,24.214349329767735
multi,site2,monsoon,72,41.45264,93.60181452508647,0.0,414.2032,708.10878,0.0,98.541666,1671.7545514285712,100,9.360181452508646,23.106684353083057,59.79859564691695
multi,site2,very_delayed,120,99.42448399999999,148.71062777273232,0.0,542.6074,650.136936,0.0,96.48333199999999,1613.7827074285713,100,14.871062777273233,70.27720095654446,128.57176704345554
multi,site2,extreme,336,215.383616,172.7485078729675,0.0,582.5134,534.177804,0.0,92.35,1497.8235754285713,100,17.27485078729675,181.52490845689834,249.24232354310163
multi,site5,no_delay,0,0.0,0.0,0.0,0.0,710.6301599999999,0.0,100.0,1392.7551885714286,100,0.0,0.0,0.0
multi,site5,fast,12,0.0,0.0,0.0,0.0,710.6301599999999,0.0,100.0,1392.7551885714286,100,0.0,0.0,0.0
multi,site5,normal,24,0.0,0.0,0.0,0.0,710.6301599999999,0.0,100.0,1392.7551885714286,100,0.0,0.0,0.0
multi,site5,delayed,48,16.5722284,61.23971184036825,0.0,356.33564,694.0579316,0.0,99.302778,1376.1829601714285,100,6.123971184036825,4.569244879287824,28.575211920712178
multi,site5,monsoon,72,54.779032,102.2887210219832,0.0,429.51444,655.851128,0.0,97.691669,1337.9761565714286,100,10.22887210219832,34.73044267969129,74.82762132030871
multi,site5,very_delayed,120,116.228228,152.11456151455496,0.0,542.88604,594.401932,0.0,95.03888699999999,1276.5269605714286,100,15.211456151455497,86.41377394314722,146.04268205685278
multi,site5,extreme,336,243.528956,157.1485984441169,0.0,570.97232,467.101204,0.0,89.46666499999999,1149.2262325714287,100,15.714859844411691,212.72783070495308,274.3300812950469
multi,site7,no_delay,0,0.0,0.0,0.0,0.0,276.784,0.0,100.0,582.9016857142857,100,0.0,0.0,0.0
multi,site7,fast,12,0.0,0.0,0.0,0.0,276.784,0.0,100.0,582.9016857142857,100,0.0,0.0,0.0
multi,site7,normal,24,0.14255,1.0028769839564047,0.0,7.1275,276.64145,0.0,99.983334,582.7591357142857,100,0.10028769839564047,-0.05401388885545533,0.33911388885545535
multi,site7,delayed,48,5.126102800000001,19.52524374470417,0.0,119.06237000000002,271.6578972,0.0,99.561111,577.7755829142857,100,1.952524374470417,1.2991550260379836,8.953050573962019
multi,site7,monsoon,72,14.977875200000001,34.98987077077812,0.0,156.00367000000003,261.8061248,0.0,98.74722200000001,567.9238105142857,100,3.4989870770778118,8.11986052892749,21.835889871072514
multi,site7,very_delayed,120,34.253779800000004,55.48142758129498,0.0,211.5492,242.5302202,0.0,97.15000099999999,548.6479059142857,100,5.548142758129498,23.37941999406619,45.12813960593382
multi,site7,extreme,336,74.3754254,67.52809191663313,0.0,227.34270000000004,202.40857459999998,0.0,93.85278,508.5262603142857,100,6.752809191663313,61.139919384339905,87.61093141566009
rlinv,site10,no_delay,0,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
rlinv,site10,fast,12,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
rlinv,site10,normal,24,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
rlinv,site10,delayed,48,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
rlinv,site10,monsoon,72,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
rlinv,site10,very_delayed,120,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
rlinv,site10,extreme,336,0.0,0.0,0.0,0.0,41.66501000000001,0.0,100.0,431.5390861904762,100,0.0,0.0,0.0
rlinv,site2,no_delay,0,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
rlinv,site2,fast,12,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
